network,time,cpu_pct_min,cpu_pct_max,cpu_pct_mean,mem_rss_bytes_mean,mem_pct_min,mem_pct_max,mem_pct_mean,disk_rchar_mean,disk_wchar_mean,records,time_by_record
hardhat,18.778,0.0,192.56,52.557,219239765.333,0.03,0.68,0.631,524009786.111,11762540.667,2528.444,0.008
geth,27.222,0.0,192.99,36.972,219347171.556,0.03,0.68,0.642,524448048.778,11763058.889,2528.444,0.011
ganache,174.889,0.0,193.31,7.255,220966456.889,0.03,0.68,0.671,524654701.778,11762813.333,2528.444,0.071
anvil,26.556,0.0,192.72,37.354,219567900.444,0.03,0.68,0.643,524667352.556,11762876.667,2528.444,0.011
