timestamp,cpu_pct,mem_rss_bytes,mem_pct,disk_rchar,disk_wchar
2026-08-17 09:54:53,0.00,9543680,0.03,593812,129
2026-08-17 09:54:54,191.40,190287872,0.58,20509799,153947
2026-08-17 09:54:55,13.89,191561728,0.59,30533493,11738970
2026-08-17 09:54:56,69.51,192356352,0.59,30533493,11739561
2026-08-17 09:54:57,76.55,192565248,0.59,30533493,11739955
2026-08-17 09:54:58,72.52,192634880,0.59,30533493,11740743
2026-08-17 09:54:59,74.60,192708608,0.59,30533493,11741334
2026-08-17 09:55:00,75.65,192708608,0.59,30533493,11741925
