timestamp,cpu_pct,mem_rss_bytes,mem_pct,disk_rchar,disk_wchar
2026-08-17 10:41:48,0.00,10027008,0.03,678068,4597
2026-08-17 10:41:49,192.16,190005248,0.58,20460486,153947
2026-08-17 10:41:50,8.93,204877824,0.63,30533644,11738221
2026-08-17 10:41:51,65.48,205389824,0.63,30533644,11739484
2026-08-17 10:41:52,58.51,205582336,0.63,30533644,11740075
2026-08-17 10:41:53,65.56,205639680,0.63,30533644,11740469
2026-08-17 10:41:54,57.62,205705216,0.63,30533644,11741060
2026-08-17 10:41:55,66.56,205762560,0.63,30533644,11741454
