timestamp,cpu_pct,mem_rss_bytes,mem_pct,disk_rchar,disk_wchar
2026-08-17 10:28:49,0.00,9465856,0.03,591703,0
2026-08-17 10:28:50,192.48,190660608,0.58,20888329,153947
2026-08-17 10:28:51,7.94,193507328,0.59,32544958,11738082
2026-08-17 10:28:52,44.54,218435584,0.67,34966227,11742117
2026-08-17 10:28:53,39.75,218628096,0.67,61774121,11743249
2026-08-17 10:28:54,36.66,218673152,0.67,93195366,11744234
2026-08-17 10:28:55,35.60,218714112,0.67,126467956,11745563
2026-08-17 10:28:56,40.68,218750976,0.67,163431909,11746548
2026-08-17 10:28:57,32.74,218800128,0.67,192081045,11747680
2026-08-17 10:28:58,40.66,218832896,0.67,229043472,11748862
2026-08-17 10:28:59,32.75,218865664,0.67,257694076,11749994
2026-08-17 10:29:00,38.74,218927104,0.67,293736988,11751176
2026-08-17 10:29:01,35.84,218947584,0.67,326080199,11752310
2026-08-17 10:29:02,37.81,218968064,0.67,360273299,11753492
2026-08-17 10:29:03,40.78,219000832,0.67,394473317,11754626
2026-08-17 10:29:04,36.82,219021312,0.67,424970318,11755611
2026-08-17 10:29:05,36.82,219054080,0.67,459164346,11756942
2026-08-17 10:29:06,39.59,219074560,0.67,495202858,11757927
2026-08-17 10:29:07,40.71,219074560,0.67,523853178,11759061
2026-08-17 10:29:08,40.69,219074560,0.67,549738898,11760195
2026-08-17 10:29:09,39.77,219074560,0.67,576545351,11761180
2026-08-17 10:29:10,39.65,219074560,0.67,605184896,11762314
2026-08-17 10:29:11,7.94,219074560,0.67,611754333,11762680
2026-08-17 10:29:12,0.00,219074560,0.67,611754333,11762680
2026-08-17 10:29:13,0.00,219074560,0.67,611754333,11762680
2026-08-17 10:29:14,0.00,219074560,0.67,611754333,11762680
2026-08-17 10:29:15,0.00,219074560,0.67,611754333,11762680
