timestamp,cpu_pct,mem_rss_bytes,mem_pct,disk_rchar,disk_wchar
2026-08-17 10:32:11,0.00,10076160,0.03,593812,2230
2026-08-17 10:32:12,191.92,190128128,0.58,20337391,153947
2026-08-17 10:32:13,7.96,193708032,0.59,32579358,11738082
2026-08-17 10:32:14,43.65,218927104,0.67,40484934,11741918
2026-08-17 10:32:15,38.81,218980352,0.67,73755984,11743247
2026-08-17 10:32:16,39.80,219054080,0.67,111644890,11744232
2026-08-17 10:32:17,38.85,219140096,0.67,144912890,11745364
2026-08-17 10:32:18,34.73,219164672,0.67,177262794,11746546
2026-08-17 10:32:19,36.74,219222016,0.67,210528007,11747678
2026-08-17 10:32:20,36.75,219258880,0.67,243789674,11748860
2026-08-17 10:32:21,39.69,219299840,0.67,279834656,11749992
2026-08-17 10:32:22,33.90,219328512,0.67,311250247,11750977
2026-08-17 10:32:23,38.82,219369472,0.67,345451641,11752308
2026-08-17 10:32:24,37.76,219385856,0.67,377798577,11753293
2026-08-17 10:32:25,35.75,219385856,0.67,409222062,11754624
2026-08-17 10:32:26,39.72,219410432,0.67,444341875,11755609
2026-08-17 10:32:27,36.79,219426816,0.67,473920912,11756743
2026-08-17 10:32:29,36.68,219426816,0.67,509958695,11757925
2026-08-17 10:32:30,39.72,219443200,0.67,541393021,11759059
2026-08-17 10:32:31,39.78,219443200,0.67,569114475,11760193
2026-08-17 10:32:32,40.69,219443200,0.67,595920127,11761178
2026-08-17 10:32:33,38.58,219443200,0.67,620879929,11762312
2026-08-17 10:32:34,20.79,219443200,0.67,636729739,11763072
2026-08-17 10:32:35,0.00,219443200,0.67,636729739,11763072
2026-08-17 10:32:36,0.00,219443200,0.67,636729739,11763072
2026-08-17 10:32:37,0.00,219443200,0.67,636729739,11763072
2026-08-17 10:32:38,0.00,219443200,0.67,636729739,11763072
